nSeq;I1;I2;O1;O2;A2
9;0;0;0;0;550
10;0;0;0;0;551
11;0;0;0;0;552
12;0;0;0;0;553
13;0;0;0;0;554
14;0;0;0;0;554
15;0;0;0;0;554
0;0;0;0;0;555
1;0;0;0;0;555
2;0;0;0;0;556
3;0;0;0;0;556
4;0;0;0;0;557
5;0;0;0;0;558
6;0;0;0;0;559
7;0;0;0;0;559
8;0;0;0;0;559
9;0;0;0;0;558
10;0;0;0;0;558
11;0;0;0;0;558
12;0;0;0;0;558
13;0;0;0;0;556
14;0;0;0;0;556
15;0;0;0;0;556
0;0;0;0;0;554
1;0;0;0;0;554
2;0;0;0;0;554
3;0;0;0;0;554
4;0;0;0;0;554
5;0;0;0;0;555
6;0;0;0;0;556
7;0;0;0;0;556
8;0;0;0;0;556
9;0;0;0;0;557
10;0;0;0;0;559
11;0;0;0;0;560
12;0;0;0;0;559
13;0;0;0;0;559
14;0;0;0;0;560
15;0;0;0;0;560
0;0;0;0;0;561
1;0;0;0;0;561
2;0;0;0;0;561
3;0;0;0;0;561
4;0;0;0;0;562
5;0;0;0;0;563
6;0;0;0;0;563
7;0;0;0;0;563
8;0;0;0;0;563
9;0;0;0;0;563
10;0;0;0;0;564
11;0;0;0;0;564
12;0;0;0;0;564
13;0;0;0;0;565
14;0;0;0;0;565
15;0;0;0;0;566
0;0;0;0;0;567
1;0;0;0;0;566
2;0;0;0;0;565
3;0;0;0;0;564
4;0;0;0;0;564
5;0;0;0;0;563
6;0;0;0;0;563
7;0;0;0;0;563
8;0;0;0;0;563
9;0;0;0;0;563
10;0;0;0;0;562
11;0;0;0;0;563
12;0;0;0;0;562
13;0;0;0;0;561
14;0;0;0;0;560
15;0;0;0;0;560
0;0;0;0;0;559
1;0;0;0;0;558
2;0;0;0;0;556
3;0;0;0;0;555
4;0;0;0;0;553
5;0;0;0;0;551
6;0;0;0;0;550
7;0;0;0;0;548
8;0;0;0;0;547
9;0;0;0;0;545
10;0;0;0;0;544
11;0;0;0;0;542
12;0;0;0;0;541
13;0;0;0;0;539
14;0;0;0;0;536
15;0;0;0;0;535
0;0;0;0;0;534
1;0;0;0;0;532
2;0;0;0;0;531
3;0;0;0;0;529
4;0;0;0;0;527
5;0;0;0;0;524
6;0;0;0;0;522
7;0;0;0;0;520
8;0;0;0;0;518
9;0;0;0;0;516
10;0;0;0;0;515
11;0;0;0;0;513
12;0;0;0;0;511
13;0;0;0;0;510
14;0;0;0;0;509
15;0;0;0;0;508
0;0;0;0;0;506
1;0;0;0;0;504
2;0;0;0;0;501
3;0;0;0;0;499
4;0;0;0;0;498
5;0;0;0;0;496
6;0;0;0;0;494
7;0;0;0;0;492
8;0;0;0;0;490
9;0;0;0;0;488
10;0;0;0;0;487
11;0;0;0;0;486
12;0;0;0;0;484
13;0;0;0;0;484
14;0;0;0;0;483
15;0;0;0;0;483
0;0;0;0;0;482
1;0;0;0;0;482
2;0;0;0;0;481
3;0;0;0;0;480
4;0;0;0;0;479
5;0;0;0;0;478
6;0;0;0;0;476
7;0;0;0;0;475
8;0;0;0;0;473
9;0;0;0;0;472
10;0;0;0;0;472
11;0;0;0;0;472
12;0;0;0;0;472
13;0;0;0;0;471
14;0;0;0;0;471
15;0;0;0;0;471
0;0;0;0;0;470
1;0;0;0;0;470
2;0;0;0;0;470
3;0;0;0;0;470
4;0;0;0;0;471
5;0;0;0;0;471
6;0;0;0;0;470
7;0;0;0;0;469
8;0;0;0;0;468
9;0;0;0;0;470
10;0;0;0;0;470
11;0;0;0;0;470
12;0;0;0;0;472
13;0;0;0;0;472
14;0;0;0;0;472
15;0;0;0;0;472
0;0;0;0;0;471
1;0;0;0;0;471
2;0;0;0;0;472
3;0;0;0;0;473
4;0;0;0;0;473
5;0;0;0;0;473
6;0;0;0;0;473
7;0;0;0;0;472
8;0;0;0;0;471
9;0;0;0;0;470
10;0;0;0;0;471
11;0;0;0;0;472
12;0;0;0;0;473
13;0;0;0;0;473
14;0;0;0;0;473
15;0;0;0;0;473
0;0;0;0;0;474
1;0;0;0;0;474
2;0;0;0;0;474
3;0;0;0;0;475
4;0;0;0;0;475
5;0;0;0;0;475
6;0;0;0;0;475
7;0;0;0;0;476
8;0;0;0;0;475
9;0;0;0;0;473
10;0;0;0;0;473
11;0;0;0;0;473
12;0;0;0;0;475
13;0;0;0;0;475
14;0;0;0;0;476
15;0;0;0;0;476
0;0;0;0;0;476
1;0;0;0;0;477
2;0;0;0;0;478
3;0;0;0;0;479
4;0;0;0;0;480
5;0;0;0;0;480
6;0;0;0;0;481
7;0;0;0;0;481
8;0;0;0;0;481
9;0;0;0;0;482
10;0;0;0;0;482
11;0;0;0;0;482
12;0;0;0;0;483
13;0;0;0;0;483
14;0;0;0;0;484
15;0;0;0;0;484
0;0;0;0;0;484
1;0;0;0;0;484
2;0;0;0;0;485
3;0;0;0;0;483
4;0;0;0;0;482
5;0;0;0;0;483
6;0;0;0;0;482
7;0;0;0;0;483
8;0;0;0;0;484
9;0;0;0;0;484
10;0;0;0;0;484
11;0;0;0;0;485
12;0;0;0;0;486
13;0;0;0;0;487
14;0;0;0;0;486
15;0;0;0;0;487
0;0;0;0;0;487
