%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272858582686007E9, 0.0, 2024-09-25 12:37:38.268
1.0, 127700.29934648269, 187500.0, 151227.1420630386, 136515.8720631447, 61958.54389173316, 117962.94068848381, 120250.95465790686, 124386.69793447232, -0.258, 0.788, 0.522, 192.0, 247.0, 240.0, 24.0, 160.0, 16.0, 80.0, 0.0, 0.0, 0.0, 1.7272858582876008E9, 0.0, 2024-09-25 12:37:38.287
2.0, 127706.40137271899, 187500.0, 151188.9876352534, 136507.82543514078, 61936.50507170023, 117976.28467992363, 120246.66312297144, 124381.86995766997, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285858290602E9, 0.0, 2024-09-25 12:37:38.290
3.0, 127727.05438459569, 187500.0, 151235.8368916317, 136521.23648181398, 61970.010336638734, 117994.27783421015, 120250.77584395121, 124398.1643793779, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272858582936368E9, 0.0, 2024-09-25 12:37:38.293
4.0, 127726.4955909843, 187500.0, 151284.29547361084, 136536.10039187677, 61996.54185730718, 118005.54311341562, 120258.06251264365, 124407.0603736711, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272858582976213E9, 0.0, 2024-09-25 12:37:38.297
5.0, 127718.13603855802, 187500.0, 151259.70855471, 136538.04499364438, 61978.615758254025, 118020.76465138969, 120265.77386448073, 124410.68135627286, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285858300589E9, 0.0, 2024-09-25 12:37:38.300
6.0, 127713.97861408933, 187500.0, 151201.92929529303, 136519.7612666799, 61940.21546127981, 118010.81812510708, 120256.76611146524, 124384.99920189372, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285858303615E9, 0.0, 2024-09-25 12:37:38.303
7.0, 127734.13988758803, 187500.0, 151228.95255433948, 136524.63394697118, 61963.103647602045, 118016.04843330961, 120260.94588767838, 124382.18288209235, -0.258, 0.788, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272858583075848E9, 0.0, 2024-09-25 12:37:38.307
8.0, 127727.25555029578, 187500.0, 151280.31686309777, 136528.79137143987, 61996.00541544025, 118013.12035478598, 120255.71557947584, 124396.15272237692, -0.27, 0.78, 0.538, 192.0, 247.0, 144.0, 24.0, 96.0, 16.0, 208.0, 0.0, 0.0, 0.0, 1.727285858312604E9, 0.0, 2024-09-25 12:37:38.312
9.0, 127714.2468350228, 187500.0, 151262.59192974473, 136534.64752848717, 61979.84510419907, 118018.12714554396, 120267.15967263696, 124399.2596148562, -0.27, 0.78, 0.538, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285858316605E9, 0.0, 2024-09-25 12:37:38.316
