%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
11.0, 135238.80514369073, 187500.0, 155215.85556457707, 141088.8601647449, 66558.5105488909, 117369.07719005075, 124592.02105903877, 128380.21706106867, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952422845E9, 0.0, 2024-09-25 12:39:12.422
12.0, 135217.906262625, 187500.0, 155229.0877972946, 141085.73092052113, 66560.1645779806, 117368.96543132847, 124582.655678112, 128387.7048954612, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524268022E9, 0.0, 2024-09-25 12:39:12.426
13.0, 135189.74306461134, 187500.0, 155172.94021522286, 141064.8543911999, 66520.37847285015, 117353.65448637659, 124572.28446868474, 128377.02076161157, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524307992E9, 0.0, 2024-09-25 12:39:12.430
14.0, 135188.5584221552, 187500.0, 155149.73910447827, 141051.51039976007, 66506.6992052435, 117341.2492682039, 124566.11538721508, 128366.42603473975, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952434882E9, 0.0, 2024-09-25 12:39:12.434
15.0, 135202.99764907334, 187500.0, 155197.10245097906, 141059.26645508606, 66543.46782487248, 117341.60689611518, 124571.9491925179, 128364.97317135015, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524378824E9, 0.0, 2024-09-25 12:39:12.437
16.0, 135201.50008219483, 187500.0, 155226.20442225988, 141071.2022866252, 66559.20345296901, 117353.45332067649, 124576.5536518757, 128376.551374978, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524418025E9, 0.0, 2024-09-25 12:39:12.441
17.0, 135195.62157340307, 187500.0, 155180.56216008213, 141068.8553534574, 66528.6039148097, 117353.20745148748, 124584.48852115734, 128369.24235454111, -0.266, 0.794, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952445878E9, 0.0, 2024-09-25 12:39:12.445
18.0, 135201.67889615046, 187500.0, 155143.3241538196, 141062.01571965407, 66510.67781575654, 117347.7983293293, 124589.27179447077, 128358.98290383613, -0.268, 0.798, 0.522, 192.0, 247.0, 160.0, 24.0, 240.0, 16.0, 80.0, 0.0, 0.0, 0.0, 1.7272859524498427E9, 0.0, 2024-09-25 12:39:12.449
19.0, 135221.59430046016, 187500.0, 155190.46398287584, 141071.22463836963, 66546.23944118494, 117353.27450672085, 124593.83155033966, 128362.51447946006, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524548476E9, 0.0, 2024-09-25 12:39:12.454
20.0, 135217.79450390275, 187500.0, 155234.85454736408, 141083.31693211995, 66572.45803743102, 117368.0490098058, 124595.19500675143, 128382.78751168103, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524588292E9, 0.0, 2024-09-25 12:39:12.458
21.0, 135195.46511119188, 187500.0, 155189.97224449783, 141070.28586510252, 66535.86823175767, 117364.33862022623, 124583.9073758015, 128381.49111050263, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524629E9, 0.0, 2024-09-25 12:39:12.462
22.0, 135194.83926234714, 187500.0, 155141.33484856307, 141056.3383765624, 66505.11223138717, 117353.00628578739, 124580.19698622191, 128366.35897950637, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524668505E9, 0.0, 2024-09-25 12:39:12.466
23.0, 135207.49034970885, 187500.0, 155170.41446809942, 141056.1372108623, 66527.53103107585, 117345.96548628397, 124576.57600362015, 128361.5533544485, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952470882E9, 0.0, 2024-09-25 12:39:12.470
24.0, 135212.09480906665, 187500.0, 155220.90705882397, 141069.45885055768, 66557.79529306832, 117356.76137885588, 124579.16880597697, 128368.84002314092, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524739037E9, 0.0, 2024-09-25 12:39:12.473
25.0, 135197.34265772614, 187500.0, 155203.31623593764, 141070.82230696946, 66542.77492079436, 117370.08301855125, 124580.5546141332, 128384.93327914874, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524799225E9, 0.0, 2024-09-25 12:39:12.479
26.0, 135198.43789320445, 187500.0, 155149.89556668946, 141058.90882717478, 66510.4990018009, 117363.10927428119, 124583.72856184586, 128373.6009447099, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524839036E9, 0.0, 2024-09-25 12:39:12.483
27.0, 135218.8673876366, 187500.0, 155161.69728776184, 141062.0827748874, 66526.39109210862, 117358.3483527122, 124590.81406483818, 128364.57083994996, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524869394E9, 0.0, 2024-09-25 12:39:12.486
28.0, 135213.9053003675, 187500.0, 155215.7885093437, 141067.8942284458, 66562.82443557077, 117363.71277138148, 124582.90154730101, 128379.90413664629, -0.268, 0.798, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524910698E9, 0.0, 2024-09-25 12:39:12.491
29.0, 135197.23089900386, 187500.0, 155202.5786283706, 141067.46954530117, 66549.2569266864, 117366.64084990512, 124578.07357049866, 128384.86622391538, -0.27, 0.796, 0.528, 192.0, 247.0, 144.0, 24.0, 224.0, 16.0, 128.0, 0.0, 0.0, 0.0, 1.727285952493896E9, 0.0, 2024-09-25 12:39:12.493
30.0, 135198.97433507137, 187500.0, 155148.9120899334, 141061.9933679096, 66516.13164140364, 117361.7458178694, 124584.22030022387, 128373.24331679862, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524979577E9, 0.0, 2024-09-25 12:39:12.497
31.0, 135208.09384680915, 187500.0, 155153.4271423134, 141055.6901759732, 66526.36874036417, 117353.63213463213, 124583.59445137912, 128367.9012498738, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525020146E9, 0.0, 2024-09-25 12:39:12.502
32.0, 135213.74883815635, 187500.0, 155213.26276222026, 141062.7533272211, 66563.18206348206, 117354.77207359935, 124579.41467516599, 128375.90317438879, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525059803E9, 0.0, 2024-09-25 12:39:12.505
33.0, 135200.13662578305, 187500.0, 155213.5756866426, 141065.12261213336, 66557.03533375685, 117359.33182946824, 124576.33013443115, 128379.39004652383, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525100498E9, 0.0, 2024-09-25 12:39:12.510
34.0, 135189.51954716677, 187500.0, 155156.39992432593, 141053.45500152768, 66522.27837112885, 117353.36391369867, 124577.38066642055, 128367.76713940706, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525150592E9, 0.0, 2024-09-25 12:39:12.515
35.0, 135202.41650371748, 187500.0, 155145.38051430948, 141050.25870207057, 66522.47953682895, 117348.75945434088, 124580.80048332221, 128362.69329341571, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525190516E9, 0.0, 2024-09-25 12:39:12.519
36.0, 135208.85380612063, 187500.0, 155203.71856733784, 141057.1877428517, 66561.10335124772, 117350.52524215284, 124575.48076814185, 128376.08198834443, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525220575E9, 0.0, 2024-09-25 12:39:12.522
37.0, 135200.1589775275, 187500.0, 155212.90513430897, 141064.2955975885, 66559.06934250228, 117353.47567242094, 124575.2572506973, 128374.91969763277, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952526026E9, 0.0, 2024-09-25 12:39:12.526
38.0, 135191.35239021212, 187500.0, 155160.870273217, 141058.70766147468, 66523.17244090706, 117352.20162298699, 124577.403018165, 128367.76713940706, -0.27, 0.796, 0.528, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525320399E9, 0.0, 2024-09-25 12:39:12.532
39.0, 135202.8635386066, 187500.0, 155140.28431657367, 141056.96422540717, 66514.72348150295, 117348.71475085197, 124580.42050366646, 128364.59319169441, -0.268, 0.788, 0.524, 192.0, 247.0, 160.0, 24.0, 160.0, 16.0, 96.0, 0.0, 0.0, 0.0, 1.7272859525380545E9, 0.0, 2024-09-25 12:39:12.538
40.0, 135221.19196905996, 187500.0, 155198.28709343518, 141064.31794933297, 66554.37547616666, 117352.11221600918, 124579.63819261054, 128380.46293025768, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952541056E9, 0.0, 2024-09-25 12:39:12.541
41.0, 135225.50585573982, 187500.0, 155227.47847169382, 141072.67750175923, 66569.08292401826, 117358.1471870121, 124585.7625705913, 128387.056694872, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525451105E9, 0.0, 2024-09-25 12:39:12.545
42.0, 135201.74595138384, 187500.0, 155184.94310199536, 141068.83300171292, 66536.4046736246, 117362.05874229179, 124586.6119368806, 128390.52121526256, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952548018E9, 0.0, 2024-09-25 12:39:12.548
43.0, 135195.73333212535, 187500.0, 155150.85669170102, 141064.40735631078, 66518.18800189352, 117360.60587890219, 124586.27666071376, 128388.28604081704, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525510721E9, 0.0, 2024-09-25 12:39:12.551
44.0, 135212.27362302228, 187500.0, 155185.65835781794, 141067.38013832332, 66545.07715047325, 117357.67780037854, 124587.55071014771, 128382.49693900312, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525550704E9, 0.0, 2024-09-25 12:39:12.555
45.0, 135215.13464631257, 187500.0, 155230.138329284, 141081.6629030303, 66573.75443860942, 117372.38524823014, 124591.37285844957, 128393.6057559974, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525600793E9, 0.0, 2024-09-25 12:39:12.560
46.0, 135200.85188160563, 187500.0, 155197.16950621243, 141079.71830126265, 66546.59706909623, 117379.04606807782, 124594.03271603976, 128399.08193338895, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525630386E9, 0.0, 2024-09-25 12:39:12.563
47.0, 135198.16967227097, 187500.0, 155154.25415685822, 141070.4423273137, 66519.9984931944, 117372.67582090806, 124598.32425097517, 128396.98086941015, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952566106E9, 0.0, 2024-09-25 12:39:12.566
48.0, 135215.7157916684, 187500.0, 155179.46692460382, 141068.63183601282, 66541.67968531605, 117363.71277138148, 124597.47488468587, 128389.31422106198, -0.268, 0.788, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952571112E9, 0.0, 2024-09-25 12:39:12.571
49.0, 135222.7565911718, 187500.0, 155236.62033517603, 141083.13811816432, 66575.47552293248, 117373.32402149726, 124598.659527142, 128402.68056424626, -0.268, 0.796, 0.53, 192.0, 247.0, 160.0, 24.0, 224.0, 16.0, 144.0, 0.0, 0.0, 0.0, 1.7272859525750797E9, 0.0, 2024-09-25 12:39:12.575
50.0, 135209.23378577636, 187500.0, 155218.76129135626, 141085.6638652878, 66558.42114191307, 117382.91291986858, 124602.61578591059, 128416.44923883073, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525781128E9, 0.0, 2024-09-25 12:39:12.578
51.0, 135204.9646025854, 187500.0, 155166.54761630864, 141075.58322853842, 66524.26767638537, 117379.56015820029, 124603.28633824424, 128413.16353239579, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525820916E9, 0.0, 2024-09-25 12:39:12.582
52.0, 135225.34939352862, 187500.0, 155174.6836512904, 141076.2090773832, 66535.24238291293, 117374.21809127547, 124605.52151268978, 128401.29475609002, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525861037E9, 0.0, 2024-09-25 12:39:12.586
53.0, 135232.54665524323, 187500.0, 155228.12667228302, 141083.8533739869, 66571.13928450814, 117379.51545471138, 124605.74503013433, 128406.43565731475, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859525901337E9, 0.0, 2024-09-25 12:39:12.590
54.0, 135222.48837023837, 187500.0, 155224.30452398118, 141085.17212690975, 66559.94106053603, 117386.62330944817, 124606.03560281225, 128409.47549456067, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.72728595259416E9, 0.0, 2024-09-25 12:39:12.594
55.0, 135207.22212877538, 187500.0, 155163.26190987372, 141063.7368039771, 66514.07528091375, 117374.35220174221, 124598.30189923072, 128394.74569496461, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952599101E9, 0.0, 2024-09-25 12:39:12.599
56.0, 135224.5670824727, 187500.0, 155157.56221503761, 141059.6017312529, 66514.16468789156, 117361.87992833614, 124603.17457952198, 128373.35507552089, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526021242E9, 0.0, 2024-09-25 12:39:12.602
57.0, 135239.0286611353, 187500.0, 155224.7292071258, 141075.13619364932, 66554.08490348875, 117368.13841678362, 124609.88010285856, 128383.86039541489, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526060903E9, 0.0, 2024-09-25 12:39:12.606
58.0, 135227.65162320752, 187500.0, 155238.8555096216, 141088.5025368336, 66557.03533375685, 117383.33760301323, 124617.09971631762, 128398.09845663291, -0.268, 0.796, 0.53, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526101367E9, 0.0, 2024-09-25 12:39:12.610
59.0, 135214.17352130098, 187500.0, 155191.76038405424, 141076.96903669467, 66524.69235953002, 117382.66705067958, 124614.88689361655, 128403.93226193576, -0.266, 0.79, 0.524, 192.0, 247.0, 176.0, 24.0, 176.0, 16.0, 96.0, 0.0, 0.0, 0.0, 1.7272859526141553E9, 0.0, 2024-09-25 12:39:12.614
60.0, 135222.89070163856, 187500.0, 155170.3250611216, 141066.70958598968, 66512.66712101306, 117371.33471624074, 124613.72460290488, 128392.93520366374, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952618139E9, 0.0, 2024-09-25 12:39:12.618
61.0, 135232.88193141008, 187500.0, 155221.7340733688, 141074.91267620478, 66548.49696737491, 117370.7535708849, 124613.1658092935, 128393.6504594863, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952622122E9, 0.0, 2024-09-25 12:39:12.622
