nSeq;I1;I2;O1;O2;A2
9;0;0;0;0;477
10;0;0;0;0;478
11;0;0;0;0;477
12;0;0;0;0;478
13;0;0;0;0;477
14;0;0;0;0;478
15;0;0;0;0;478
0;0;0;0;0;479
1;0;0;0;0;480
2;0;0;0;0;480
3;0;0;0;0;481
4;0;0;0;0;482
5;0;0;0;0;482
6;0;0;0;0;482
7;0;0;0;0;483
8;0;0;0;0;484
9;0;0;0;0;485
10;0;0;0;0;486
11;0;0;0;0;486
12;0;0;0;0;486
13;0;0;0;0;485
14;0;0;0;0;484
15;0;0;0;0;484
0;0;0;0;0;483
1;0;0;0;0;481
2;0;0;0;0;480
3;0;0;0;0;481
4;0;0;0;0;481
5;0;0;0;0;481
6;0;0;0;0;480
7;0;0;0;0;480
8;0;0;0;0;480
9;0;0;0;0;479
10;0;0;0;0;480
11;0;0;0;0;480
12;0;0;0;0;482
13;0;0;0;0;484
14;0;0;0;0;487
15;0;0;0;0;490
0;0;0;0;0;489
1;0;0;0;0;490
2;0;0;0;0;491
3;0;0;0;0;492
4;0;0;0;0;492
5;0;0;0;0;492
6;0;0;0;0;495
7;0;0;0;0;496
8;0;0;0;0;497
9;0;0;0;0;497
10;0;0;0;0;496
11;0;0;0;0;496
12;0;0;0;0;496
13;0;0;0;0;496
14;0;0;0;0;495
15;0;0;0;0;492
0;0;0;0;0;490
1;0;0;0;0;488
2;0;0;0;0;487
3;0;0;0;0;486
4;0;0;0;0;486
5;0;0;0;0;485
6;0;0;0;0;485
7;0;0;0;0;486
8;0;0;0;0;487
9;0;0;0;0;488
10;0;0;0;0;489
11;0;0;0;0;491
12;0;0;0;0;493
13;0;0;0;0;495
14;0;0;0;0;495
15;0;0;0;0;496
0;0;0;0;0;495
1;0;0;0;0;493
2;0;0;0;0;493
3;0;0;0;0;492
4;0;0;0;0;492
5;0;0;0;0;492
6;0;0;0;0;491
7;0;0;0;0;490
8;0;0;0;0;490
9;0;0;0;0;491
10;0;0;0;0;490
11;0;0;0;0;489
12;0;0;0;0;489
13;0;0;0;0;489
14;0;0;0;0;491
15;0;0;0;0;490
0;0;0;0;0;491
1;0;0;0;0;492
2;0;0;0;0;494
3;0;0;0;0;496
4;0;0;0;0;497
5;0;0;0;0;496
6;0;0;0;0;496
7;0;0;0;0;497
8;0;0;0;0;497
9;0;0;0;0;499
10;0;0;0;0;499
11;0;0;0;0;499
12;0;0;0;0;499
13;0;0;0;0;498
14;0;0;0;0;499
15;0;0;0;0;499
0;0;0;0;0;499
1;0;0;0;0;499
2;0;0;0;0;500
3;0;0;0;0;499
4;0;0;0;0;499
5;0;0;0;0;498
6;0;0;0;0;496
7;0;0;0;0;495
8;0;0;0;0;493
9;0;0;0;0;493
10;0;0;0;0;494
11;0;0;0;0;494
12;0;0;0;0;495
13;0;0;0;0;496
14;0;0;0;0;497
15;0;0;0;0;496
0;0;0;0;0;496
1;0;0;0;0;496
2;0;0;0;0;496
3;0;0;0;0;498
4;0;0;0;0;500
5;0;0;0;0;501
6;0;0;0;0;503
7;0;0;0;0;504
8;0;0;0;0;505
9;0;0;0;0;506
10;0;0;0;0;505
11;0;0;0;0;505
12;0;0;0;0;505
13;0;0;0;0;504
14;0;0;0;0;504
15;0;0;0;0;505
0;0;0;0;0;505
1;0;0;0;0;505
2;0;0;0;0;505
3;0;0;0;0;506
4;0;0;0;0;506
5;0;0;0;0;504
6;0;0;0;0;504
7;0;0;0;0;502
8;0;0;0;0;502
9;0;0;0;0;501
10;0;0;0;0;502
11;0;0;0;0;502
12;0;0;0;0;500
13;0;0;0;0;499
14;0;0;0;0;500
15;0;0;0;0;499
0;0;0;0;0;497
1;0;0;0;0;497
2;0;0;0;0;497
3;0;0;0;0;498
4;0;0;0;0;500
5;0;0;0;0;501
6;0;0;0;0;503
7;0;0;0;0;504
8;0;0;0;0;507
9;0;0;0;0;510
10;0;0;0;0;511
11;0;0;0;0;509
12;0;0;0;0;506
13;0;0;0;0;505
14;0;0;0;0;504
15;0;0;0;0;503
0;0;0;0;0;502
1;0;0;0;0;502
2;0;0;0;0;500
3;0;0;0;0;500
4;0;0;0;0;499
5;0;0;0;0;498
6;0;0;0;0;499
7;0;0;0;0;499
8;0;0;0;0;500
9;0;0;0;0;500
10;0;0;0;0;500
11;0;0;0;0;500
12;0;0;0;0;500
13;0;0;0;0;500
14;0;0;0;0;499
15;0;0;0;0;499
0;0;0;0;0;498
1;0;0;0;0;497
2;0;0;0;0;497
3;0;0;0;0;497
4;0;0;0;0;498
5;0;0;0;0;498
6;0;0;0;0;497
7;0;0;0;0;497
8;0;0;0;0;497
9;0;0;0;0;499
10;0;0;0;0;502
11;0;0;0;0;504
12;0;0;0;0;506
13;0;0;0;0;507
14;0;0;0;0;507
15;0;0;0;0;507
0;0;0;0;0;506
1;0;0;0;0;504
2;0;0;0;0;503
3;0;0;0;0;503
4;0;0;0;0;504
5;0;0;0;0;505
6;0;0;0;0;505
7;0;0;0;0;505
8;0;0;0;0;504
9;0;0;0;0;504
10;0;0;0;0;504
11;0;0;0;0;504
12;0;0;0;0;504
13;0;0;0;0;504
14;0;0;0;0;505
15;0;0;0;0;506
0;0;0;0;0;506
1;0;0;0;0;504
2;0;0;0;0;503
3;0;0;0;0;502
4;0;0;0;0;504
5;0;0;0;0;504
6;0;0;0;0;505
7;0;0;0;0;505
8;0;0;0;0;505
9;0;0;0;0;507
10;0;0;0;0;509
11;0;0;0;0;510
12;0;0;0;0;509
13;0;0;0;0;509
14;0;0;0;0;508
15;0;0;0;0;509
0;0;0;0;0;507
1;0;0;0;0;506
2;0;0;0;0;506
3;0;0;0;0;505
4;0;0;0;0;504
5;0;0;0;0;503
6;0;0;0;0;502
7;0;0;0;0;502
8;0;0;0;0;502
9;0;0;0;0;501
10;0;0;0;0;502
11;0;0;0;0;503
12;0;0;0;0;504
13;0;0;0;0;504
14;0;0;0;0;506
15;0;0;0;0;508
0;0;0;0;0;508
1;0;0;0;0;508
2;0;0;0;0;508
3;0;0;0;0;508
4;0;0;0;0;507
5;0;0;0;0;507
6;0;0;0;0;507
7;0;0;0;0;506
8;0;0;0;0;507
9;0;0;0;0;507
10;0;0;0;0;507
11;0;0;0;0;506
12;0;0;0;0;507
13;0;0;0;0;508
14;0;0;0;0;508
15;0;0;0;0;509
0;0;0;0;0;512
1;0;0;0;0;514
2;0;0;0;0;518
3;0;0;0;0;520
4;0;0;0;0;522
5;0;0;0;0;524
6;0;0;0;0;525
7;0;0;0;0;526
8;0;0;0;0;527
9;0;0;0;0;528
10;0;0;0;0;528
11;0;0;0;0;528
12;0;0;0;0;528
13;0;0;0;0;528
14;0;0;0;0;528
15;0;0;0;0;529
0;0;0;0;0;530
1;0;0;0;0;531
2;0;0;0;0;531
3;0;0;0;0;531
4;0;0;0;0;533
5;0;0;0;0;533
6;0;0;0;0;532
7;0;0;0;0;533
8;0;0;0;0;534
9;0;0;0;0;534
10;0;0;0;0;533
11;0;0;0;0;531
12;0;0;0;0;530
13;0;0;0;0;529
14;0;0;0;0;531
15;0;0;0;0;533
0;0;0;0;0;536
1;0;0;0;0;537
2;0;0;0;0;537
3;0;0;0;0;536
4;0;0;0;0;535
5;0;0;0;0;531
6;0;0;0;0;529
7;0;0;0;0;527
8;0;0;0;0;525
9;0;0;0;0;523
10;0;0;0;0;521
11;0;0;0;0;517
12;0;0;0;0;514
13;0;0;0;0;511
14;0;0;0;0;508
15;0;0;0;0;506
0;0;0;0;0;504
1;0;0;0;0;503
2;0;0;0;0;502
3;0;0;0;0;500
4;0;0;0;0;499
5;0;0;0;0;498
6;0;0;0;0;498
7;0;0;0;0;499
8;0;0;0;0;500
9;0;0;0;0;503
10;0;0;0;0;504
11;0;0;0;0;506
12;0;0;0;0;509
13;0;0;0;0;511
14;0;0;0;0;512
15;0;0;0;0;512
0;0;0;0;0;508
1;0;0;0;0;504
2;0;0;0;0;499
3;0;0;0;0;496
4;0;0;0;0;496
5;0;0;0;0;495
6;0;0;0;0;496
7;0;0;0;0;497
8;0;0;0;0;498
9;0;0;0;0;498
10;0;0;0;0;499
11;0;0;0;0;499
12;0;0;0;0;498
13;0;0;0;0;498
14;0;0;0;0;496
15;0;0;0;0;495
0;0;0;0;0;493
1;0;0;0;0;491
2;0;0;0;0;489
3;0;0;0;0;488
4;0;0;0;0;488
5;0;0;0;0;488
6;0;0;0;0;487
7;0;0;0;0;488
8;0;0;0;0;488
9;0;0;0;0;487
10;0;0;0;0;488
11;0;0;0;0;489
12;0;0;0;0;489
13;0;0;0;0;491
14;0;0;0;0;491
15;0;0;0;0;492
0;0;0;0;0;492
1;0;0;0;0;493
2;0;0;0;0;492
3;0;0;0;0;490
4;0;0;0;0;491
5;0;0;0;0;490
6;0;0;0;0;489
7;0;0;0;0;489
8;0;0;0;0;489
9;0;0;0;0;490
10;0;0;0;0;489
11;0;0;0;0;491
12;0;0;0;0;492
13;0;0;0;0;492
14;0;0;0;0;493
15;0;0;0;0;493
0;0;0;0;0;492
1;0;0;0;0;492
2;0;0;0;0;492
3;0;0;0;0;492
4;0;0;0;0;491
5;0;0;0;0;491
6;0;0;0;0;491
7;0;0;0;0;491
8;0;0;0;0;491
9;0;0;0;0;492
10;0;0;0;0;493
11;0;0;0;0;496
12;0;0;0;0;499
13;0;0;0;0;504
14;0;0;0;0;510
15;0;0;0;0;516
0;0;0;0;0;523
1;0;0;0;0;529
2;0;0;0;0;536
3;0;0;0;0;542
4;0;0;0;0;548
5;0;0;0;0;555
6;0;0;0;0;560
7;0;0;0;0;567
8;0;0;0;0;571
9;0;0;0;0;575
10;0;0;0;0;579
11;0;0;0;0;584
12;0;0;0;0;589
13;0;0;0;0;593
14;0;0;0;0;600
15;0;0;0;0;606
0;0;0;0;0;611
1;0;0;0;0;616
2;0;0;0;0;623
3;0;0;0;0;635
4;0;0;0;0;649
5;0;0;0;0;663
6;0;0;0;0;676
7;0;0;0;0;680
8;0;0;0;0;673
9;0;0;0;0;653
10;0;0;0;0;624
11;0;0;0;0;590
12;0;0;0;0;551
13;0;0;0;0;512
14;0;0;0;0;481
15;0;0;0;0;457
0;0;0;0;0;437
1;0;0;0;0;419
2;0;0;0;0;404
3;0;0;0;0;392
4;0;0;0;0;383
5;0;0;0;0;374
6;0;0;0;0;364
7;0;0;0;0;352
8;0;0;0;0;338
9;0;0;0;0;319
10;0;0;0;0;297
11;0;0;0;0;272
12;0;0;0;0;246
13;0;0;0;0;222
14;0;0;0;0;202
15;0;0;0;0;188
0;0;0;0;0;180
1;0;0;0;0;183
2;0;0;0;0;190
3;0;0;0;0;199
4;0;0;0;0;211
5;0;0;0;0;227
6;0;0;0;0;241
7;0;0;0;0;255
8;0;0;0;0;270
9;0;0;0;0;286
10;0;0;0;0;303
11;0;0;0;0;318
12;0;0;0;0;331
13;0;0;0;0;345
14;0;0;0;0;358
15;0;0;0;0;371
0;0;0;0;0;383
1;0;0;0;0;393
2;0;0;0;0;403
3;0;0;0;0;412
4;0;0;0;0;421
5;0;0;0;0;431
6;0;0;0;0;441
7;0;0;0;0;449
8;0;0;0;0;459
9;0;0;0;0;468
10;0;0;0;0;478
11;0;0;0;0;486
12;0;0;0;0;493
13;0;0;0;0;498
14;0;0;0;0;504
15;0;0;0;0;509
0;0;0;0;0;515
1;0;0;0;0;521
2;0;0;0;0;527
3;0;0;0;0;531
