nSeq;I1;I2;O1;O2;A2
9;0;0;0;0;489
10;0;0;0;0;487
11;0;0;0;0;486
12;0;0;0;0;486
13;0;0;0;0;483
14;0;0;0;0;483
15;0;0;0;0;482
0;0;0;0;0;482
1;0;0;0;0;481
2;0;0;0;0;480
3;0;0;0;0;479
4;0;0;0;0;479
5;0;0;0;0;477
6;0;0;0;0;476
7;0;0;0;0;474
8;0;0;0;0;473
9;0;0;0;0;472
10;0;0;0;0;472
11;0;0;0;0;472
12;0;0;0;0;470
13;0;0;0;0;470
14;0;0;0;0;471
15;0;0;0;0;472
0;0;0;0;0;472
1;0;0;0;0;472
2;0;0;0;0;472
3;0;0;0;0;471
4;0;0;0;0;470
5;0;0;0;0;470
6;0;0;0;0;470
7;0;0;0;0;471
8;0;0;0;0;470
9;0;0;0;0;469
10;0;0;0;0;468
11;0;0;0;0;467
12;0;0;0;0;467
13;0;0;0;0;466
14;0;0;0;0;465
15;0;0;0;0;463
0;0;0;0;0;462
1;0;0;0;0;463
2;0;0;0;0;462
3;0;0;0;0;462
4;0;0;0;0;463
5;0;0;0;0;464
6;0;0;0;0;466
7;0;0;0;0;465
8;0;0;0;0;464
9;0;0;0;0;464
10;0;0;0;0;464
11;0;0;0;0;465
12;0;0;0;0;466
13;0;0;0;0;467
14;0;0;0;0;469
15;0;0;0;0;470
0;0;0;0;0;471
1;0;0;0;0;470
2;0;0;0;0;471
3;0;0;0;0;472
4;0;0;0;0;472
5;0;0;0;0;472
6;0;0;0;0;472
7;0;0;0;0;472
8;0;0;0;0;472
9;0;0;0;0;473
10;0;0;0;0;473
11;0;0;0;0;473
12;0;0;0;0;473
13;0;0;0;0;474
14;0;0;0;0;474
15;0;0;0;0;474
0;0;0;0;0;474
1;0;0;0;0;473
2;0;0;0;0;473
3;0;0;0;0;473
4;0;0;0;0;475
5;0;0;0;0;475
6;0;0;0;0;473
7;0;0;0;0;471
8;0;0;0;0;470
9;0;0;0;0;470
10;0;0;0;0;470
11;0;0;0;0;470
12;0;0;0;0;472
13;0;0;0;0;473
14;0;0;0;0;474
15;0;0;0;0;475
0;0;0;0;0;476
1;0;0;0;0;476
2;0;0;0;0;476
3;0;0;0;0;477
4;0;0;0;0;476
5;0;0;0;0;476
6;0;0;0;0;476
7;0;0;0;0;476
8;0;0;0;0;476
9;0;0;0;0;476
10;0;0;0;0;476
11;0;0;0;0;477
12;0;0;0;0;478
13;0;0;0;0;478
14;0;0;0;0;479
15;0;0;0;0;480
0;0;0;0;0;480
1;0;0;0;0;481
2;0;0;0;0;481
3;0;0;0;0;480
4;0;0;0;0;480
5;0;0;0;0;480
6;0;0;0;0;481
7;0;0;0;0;482
8;0;0;0;0;483
9;0;0;0;0;485
10;0;0;0;0;487
11;0;0;0;0;487
12;0;0;0;0;486
13;0;0;0;0;486
14;0;0;0;0;486
15;0;0;0;0;485
0;0;0;0;0;485
1;0;0;0;0;485
2;0;0;0;0;486
3;0;0;0;0;486
4;0;0;0;0;487
5;0;0;0;0;488
6;0;0;0;0;488
7;0;0;0;0;488
8;0;0;0;0;489
9;0;0;0;0;489
10;0;0;0;0;490
11;0;0;0;0;489
12;0;0;0;0;490
13;0;0;0;0;490
14;0;0;0;0;490
15;0;0;0;0;489
0;0;0;0;0;489
1;0;0;0;0;488
2;0;0;0;0;488
3;0;0;0;0;488
4;0;0;0;0;490
5;0;0;0;0;491
6;0;0;0;0;492
7;0;0;0;0;492
8;0;0;0;0;492
9;0;0;0;0;492
10;0;0;0;0;493
11;0;0;0;0;493
12;0;0;0;0;493
13;0;0;0;0;493
14;0;0;0;0;492
15;0;0;0;0;490
0;0;0;0;0;489
1;0;0;0;0;489
2;0;0;0;0;491
3;0;0;0;0;492
4;0;0;0;0;491
5;0;0;0;0;492
6;0;0;0;0;493
7;0;0;0;0;494
8;0;0;0;0;496
9;0;0;0;0;496
10;0;0;0;0;496
11;0;0;0;0;496
12;0;0;0;0;496
13;0;0;0;0;496
14;0;0;0;0;496
15;0;0;0;0;496
0;0;0;0;0;496
1;0;0;0;0;495
2;0;0;0;0;495
3;0;0;0;0;495
4;0;0;0;0;496
5;0;0;0;0;496
6;0;0;0;0;496
7;0;0;0;0;495
8;0;0;0;0;494
9;0;0;0;0;494
10;0;0;0;0;495
11;0;0;0;0;496
12;0;0;0;0;495
13;0;0;0;0;495
14;0;0;0;0;495
15;0;0;0;0;495
0;0;0;0;0;496
1;0;0;0;0;496
2;0;0;0;0;497
3;0;0;0;0;496
4;0;0;0;0;496
5;0;0;0;0;495
6;0;0;0;0;494
7;0;0;0;0;494
8;0;0;0;0;495
9;0;0;0;0;494
10;0;0;0;0;492
11;0;0;0;0;491
12;0;0;0;0;492
13;0;0;0;0;492
14;0;0;0;0;492
15;0;0;0;0;494
0;0;0;0;0;495
1;0;0;0;0;495
2;0;0;0;0;497
3;0;0;0;0;498
4;0;0;0;0;499
5;0;0;0;0;499
6;0;0;0;0;502
7;0;0;0;0;504
8;0;0;0;0;506
9;0;0;0;0;508
10;0;0;0;0;509
11;0;0;0;0;509
12;0;0;0;0;509
13;0;0;0;0;510
14;0;0;0;0;511
15;0;0;0;0;511
